topic,question
Programming and Data Structure,Consider a complete binary tree with 7 nodes. Let A denote the set of first 3 elements obtained by performing Breadth-First Search (BFS) starting from the root. Let B denote the set of first 3 elements obtained by performing Depth-First Search (DFS) starting from the root.The value of |A-B| is _____________
Programming and Data Structure,"Let T be a full binary tree with 8 leaves. (A full binary tree has every level full.) Suppose two leaves a and b of T are chosen uniformly and independently at random. The expected value of the distance between a and b in T (i.e., the number of edges in the unique path between a and b) is (rounded off to 2 decimal places) ___________ ."
Programming and Data Structure,"The postorder traversal of a binary tree is 8,9,6,7,4,5,2,3,1. The inorder traversal of the same tree is 8,6,9,4,7,2,5,1,3. The height of a tree is the length of the longest path from the root to any leaf. The height of the binary tree above is ______."
Programming and Data Structure,Consider the following New-order strategy for traversing a binary tree:Visit the root;Visit the right sub tree using New-order;Visit the left sub tree using New-order;The New-order traversal of the expression tree corresponding to the reverse polish expression 3 4 * 5 - 2 ^ 6 7 * 1 + - is given by:
Programming and Data Structure,The height of a tree is the length of the longest root-to-leaf path in it. The maximum and minimum number of nodes in a binary tree of height 5 are
Programming and Data Structure,"Consider the pseudocode given below. The function Dosomething () takes as argument a pointer to the root of an arbitrary tree represented by the leftMostChild-rightSibling representation. Each node of the tree is of type treeNode.When the pointer to the root of a tree is passed as the argument to DoSomething, the value returned by the function corresponds to the"
Programming and Data Structure,"In a binary tree with n nodes, every node has an odd number of descendants. Every node is considered to be its own descendant. What is the number of nodes in the tree that have exactly one child?"
Programming and Data Structure,"The inorder and preorder traversal of a binary tree are d b e a f c g and a b d e c f g, respectively The postorder traversal of the binary tree is:"
Programming and Data Structure,The height of a binary tree is the maximum number of edges in any root to leaf path. The maximum number of nodes in a binary tree of height h is:
Programming and Data Structure,"An array X of n distinct integers is interpreted as a complete binary tree. The index of the first element of the array is 0. If only the root node does not satisfy the heap property, the algorithm to convert the complete binary tree into a heap has the best asymptotic time complexity of"
Programming and Data Structure,Consider the label sequences obtained by the following pairs of traversals on a labeled binary tree. Which of these pairs identify a tree uniquely?(i) preorder and postorder (ii) inorder and postorder (iii) preorder and inorder (iv) level order and postorder
Programming and Data Structure,"Let LASTPOST, LASTIN and LASTPRE denote the last vertex visited `in a postorder, inorder and preorder traversal respectively, of a complete binary tree. Which of the following is always true?"
Programming and Data Structure,"Suppose a binary search tree with 1000 distinct elements is also a complete binary tree. The tree is stored using the array representation of binary heap trees. Assuming that the array indices start with 0, the 3rd largest element of the tree is stored at index _______"
Programming and Data Structure,A binary search tree T contains n distinct elements. What is the time complexity of picking an element in T that is smaller than the maximum element in T?
Programming and Data Structure,"The number of ways in which the numbers 1,2,3,4,5,6,7 can be inserted in an empty binary search tree, such that the resulting tree has height 6, is _____."
Programming and Data Structure,"While inserting the elements 71, 65, 84, 69, 67, 83 in an empty binary search tree (BST) in the sequence shown, the element in the lowest level is"
Programming and Data Structure,What are the worst-case complexities of insertion and deletion of a key in a binary search tree?
Programming and Data Structure,We are given a set of n distinct elements and an unlabeled binary tree with n nodes. In how many ways can we populate the tree with the given set so that it becomes a binary search tree?
Programming and Data Structure,"The following numbers are inserted into an empty binary search tree in the given order: 10, 1, 3, 5, 15, 12, 16. What is the height of the binary search tree (the height is the maximum distance of a leaf node from the root)?"
Programming and Data Structure,"Suppose the numbers 7,5,1,8,3,6,0,9,4,2 are inserted in that order into an initially empty binary search tree. The binary search tree uses the usual ordering on natural numbers. What is the in-order traversal sequence of the resultant tree?"
Programming and Data Structure,"You are given the postorder traversal, P, of a binary search tree on the n elements 1, 2,...,n. You have to determine the unique binary search tree that has P as its postorder traversal. What is the time complexity of the most efficient algorithm for doing this?"
Programming and Data Structure,"When searching for the key value 60 in a binary search tree, nodes containing the key values 10, 20, 40, 50, 70, 80, 90 are traversed, not necessarily in the order given. How many different orders are possible in which these key values can occur on the search path from the root to the node containing the value 60?"
Programming and Data Structure,"A binary search tree contains the numbers 1,2,3,4,5,6,7,8. When the tree is traversed in pre-order and the values in each node printed out, the sequence of values obtained is 5,3,1,2,4,6,8,7. If the tree is traversed in post-order, the sequence obtained would be"
Programming and Data Structure,"The numbers 1,2,.…n are inserted in a binary search tree in some order. In the resulting tree, the right subtree of the root contains p nodes. The first number to be inserted in the tree must be"
Programming and Data Structure,"The following numbers are inserted into an empty binary search tree in the given order: 10, 1, 3, 5, 15, 12, 16. What is the height of the binary search tree (the height is the maximum distance of a leaf node from the root)?"
Programming and Data Structure,"Suppose the numbers 7, 5, 1, 8, 3, 6, 0, 9, 4, 2 are inserted in that order into an initially empty binary search tree. The binary search tree uses the usual ordering on natural numbers. What is the inorder transversal sequence of the resultant tree ?"
Programming and Data Structure,"A binary search tree contains the value 1,2,3,4,5,6,7,8. The tree is traversed in pre-order and the values are printed out. Which of the following sequences is a valid output?"
Programming and Data Structure,The minimum height of an AVL tree with n nodes is
Programming and Data Structure,"In a balanced binary search tree with n elements, what is the worst case time complexity of reporting all elements in range [a,b]? Assume that the number of reported elements is k."
Programming and Data Structure,What is the worst case time complexity of inserting n2 elements into an AVL-tree with n elements initially?
Programming and Data Structure,Access time of the symbolic table will be logarithmic if it is implemented by
Programming and Data Structure,"Suppose we have a balanced binary search tree T holding n numbers. We are given two numbers L and H and wish to sum up all the numbers in T that lie between L and H. Suppose there are m such numbers in T. If the tightest upper bound on the time to compute the sum is O(nalogbn+mclogdn), the value of a + 10b + 100c + 1000d is _______."
Programming and Data Structure,"The number of rotations required to insert a sequence of elements 9, 6, 5, 8, 7, 10 into an empty AVL tree is?"
Programming and Data Structure,The worst case running time to search for an element in a balanced binary search tree with n2n elements is
Programming and Data Structure,"A program takes as input a balanced binary search tree with n leaf nodes and computes the value of a function g(x) for each node x. If the cost of computing g(x) is min{no. of leaf-nodes in left-subtree of x, no. of leaf-nodes in right-subtree of x} then the worst-case time complexity of the program is"
Programming and Data Structure,"A weight-balanced tree is a binary tree in which for each node, the number of nodes in the let sub tree is at least half and at most twice the number of nodes in the right sub tree. The maximum possible height (number of nodes on the path from the root to the furthest leaf) of such a tree on n nodes is best described by which of the following ?"
Programming and Data Structure,"In the balanced binary tree in the below figure, how many nodes will become unbalanced when a node is inserted as a child of the node g?"
Programming and Data Structure,"Given an integer array of size N, we want to check if the array is sorted (in either ascending or descending order). An algorithm solves this problem by making a single pass through the array and comparing each element of the array only with its adjacent elements. The worst-case time complexity of this algorithm is"
Programming and Data Structure,"There are n unsorted arrays: A1​,A2​,...,An​. Assume that n is odd. Each of A1​,A2​,...,An​ contains n distinct elements. There are no common elements between any two arrays. The worst-case Asymptotic Notation of computing the median of the medians of A1​,A2​,...,An​ is ________ ."
Programming and Data Structure,"In an adjacency list representation of an undirected simple graph G = (V,E), each edge (u,v) has two adjacency list entries: [v] in the adjacency list of u, and [u] in the adjacency list of v. These are called twins of each other. A twin pointer is a pointer from an adjacency list entry to its twin. If |E|=m and |V|=n, and the memory size is not a constraint, what is the Asymptotic Notation of the most efficient algorithm to set the twin pointer in each entry in each adjacency list?"
Programming and Data Structure,"The given diagram shows the flowchart for a recursive function A(n). Assume that all statements, except for the recursive calls,have O(1) Asymptotic Notation. If the worst case Asymptotic Notation of this functionis O(nα), then the least possible value(accurate upto two decimal positions) of α is ."
Programming and Data Structure,Two alternative packages A and B are available for processing a database having 10k records. Package A requires 0.0001n2 time units and package B requires 10nlog10​n time units to process n records. What is the smallest value of k for which package B will be preferred over A?
Programming and Data Structure,The time taken by binary search algorithm to search a key in a sorted array of n elements is
Programming and Data Structure,"Exponentiation is a heavily used operation in public key cryptography. Which of the following options is the tightest upper bound on the number of multiplications required to compute bnmodm,0≤b,n≤m ?"
Programming and Data Structure,"Suppose we modify the above function foo() and store the values of foo (i), 0≤i<n, as and when they are computed. With this modification, the time complexity for function foo() is significantly reduced. The space complexity of the modified function would be:"
Programming and Data Structure,The Asymptotic Notation of computing the transitive closure of a binary relation on a set of n elements is known to be:
Programming and Data Structure,"Let A[1,..., n] be an array storing a bit (1 or 0) at each location, and f(m) is a function whose Asymptotic Notation is θ(m). Consider the following program fragment written in a C like language:"
Programming and Data Structure,The cube root of a natural number n is defined as the largest natural number m such that m3≤n. The complexity of computing the cube root of n(n is represented in binary notation) is
Programming and Data Structure,Let S be a sorted array of n integers. Let T(n) denote the time taken for the most efficient algorithm to determined if there are two elements with sum less than 1000 in S. Which of the following statement is true?
Programming and Data Structure,"Consider a sequence of 14 elements: A = [-5, -10, 6, 3, -1, -2, 13, 4, -9, -1, 4, 12, -3, 0]. The subsequence sum S(i,j)=∑k=ij​A[k]. Determine the maximum of S(i,j), where 0≤i≤j<14. (Divide and conquer approach may be used). Answer:______"
Programming and Data Structure,The minimum number of comparisons required to find the minimum and the maximum of 100 numbers is _________________.
Programming and Data Structure,"If n is a power of 2, then the minimum number of multiplications needed to compute an is"
Programming and Data Structure,"Of the following sort algorithms, which has execution time that is least dependant on initial ordering of the input?"
Programming and Data Structure,Given two sorted list of size m and n respectively. The number of comparisons needed the worst case by the merge sort algorithm will be:
Programming and Data Structure,An array of 25 distinct elements is to be sorted using quicksort. Assume that the pivot element is chosen uniformly at random. The probability that the pivot element gets placed in the worst possible location in the first round of partitioning (rounded off to 2 decimal places) is _________
Programming and Data Structure,"The number of swappings needed to sort the numbers 8 , 22, 7, 9, 31, 5, 13 in ascending order using bubble sort is"
Programming and Data Structure,Algorithm design technique used in quicksort algorithm is?
Programming and Data Structure,"Assume that the algorithms considered here sort the input sequences in ascending order. If the input is already in ascending order, which of the following are TRUE?I. Quicksort runs in Θ(n^2) time II. Bubblesort runs in Θ(n^2) time III. Merge sort runs in Θ(n) time IV. Insertion sort runs in Θ(n) time"
Programming and Data Structure,"The worst case running times of Insertion sort, Mergesort and Quicksort, respectively, are:"
Programming and Data Structure,A machine needs a minimum of 100 sec to sort 1000 names by quick sort. The minimum time needed to sort 100 names will be approximately
Programming and Data Structure,Assume that a mergesort algorithm in the worst case takes 30 seconds for an input of size 64. Which of the following most closely approximates the maximum input size of a problem that can be solved in 6 minutes?
Programming and Data Structure,"Suppose you are provided with the following function declaration in the C programming language.int partition(int a[ ], int n);The function treats the first element of a[] as a pivot, and rearranges the array so that all elements less than or equal to the pivot is in the left part of the array, and all elements greater than the pivot is in the right part. In addition, it moves the pivot so that the pivot is the last element of the left part. The return value is the number of elements in the left part.The following partially given function in the C programming language is used to find the kth smallest element in an array a[ ] of size n using the partition function. We assume k≤n"
Programming and Data Structure,"Which one of the following is the recurrence equation for the worst case time complexity of the Quicksort algorithm for sorting n ( ≥2) numbers? In the recurrence equations given in the options below, c is a constant."
Programming and Data Structure,You have an array of n elements. Suppose you implement quick sort by always choosing the central element of the array as the pivot. Then the tightest upper bound for the worst case performance is
Programming and Data Structure,Consider the following sorting algorithms. I. Quicksort. II. Heapsort. III.  Mergesort. Which of them perform in least time in the worst case?
Programming and Data Structure,Let P be a quick sort program to sort numbers in ascending order using the first element as the pivot. Let t1 and t2 be the number of comparisons made by P for the inputs [1 2 3 4 5] and [4 1 5 3 2] respectively. Which one of the following holds?
Programming and Data Structure,Which of the following sorting algorithms has the minimum running time complexity in the best and average case?
Programming and Data Structure,The number of elements that can be sorted in Θ(logn) time using heap sort is
Programming and Data Structure,Which one of the following is the tightest upper bound that represents the number of swaps required to sort n numbers using selection sort?
Programming and Data Structure,"A list of n strings, each of length n, is sorted into lexicographic order using the merge-sort algorithm. The worst case running time of this computation is"
Programming and Data Structure,"In quick sort, for sorting n elements, the (n/4)th smallest element is selected as pivot using an O(n) time algorithm. What is the worst case time complexity of the quick sort?"
Programming and Data Structure,How many comparisons are needed to sort an array of length 5 if a straight selection sort is used and array is already in the opposite order?
Programming and Data Structure,"What is the number of swaps required to sort n elements using selection sort, in the worst case?"
Programming and Data Structure,"If we use Radix Sort to sort n integers in the range (nk/2,nk), for some k>0 which is independent of n, the time taken would be?"
Programming and Data Structure,Consider the Quicksort algorithm. Suppose there is a procedure for finding a pivot element which splits the list into two sub-lists each of which contains at least one-fifth of the elements. Let T(n) be the number of comparisons required to sort n elements. Then
Programming and Data Structure,Selection sort algorithm design technique is an example of
Programming and Data Structure,"The median of n elements can be found in O(n) time. Which one of the following is correct about the complexity of quick sort, in which median is selected as pivot?"
Programming and Data Structure,"The tightest lower bound on the number of comparisons, in the worst case, for comparison-based sorting is of the order of"
Programming and Data Structure,"In a permutation a1.....an of n distinct integers, an inversion is a pair (ai > aj) such that i<j and ai>aj. What would be the worst case time complexity of the insertion Sort algorithm, if the inputs are restricted to permutations of 1....n with at most n inversions?"
Programming and Data Structure,"The usual Θ(n2) implementation of Insertion Sort to sort ab array uses linear search to identify the position where an element is to be inserted into the already sorted part of the array. If, instead, we use binary search to identify the position, the worst case running time will"
Programming and Data Structure,"If one uses straight two-way merge sort algorithm to sort the following elements in ascending order:20, 47, 15, 8, 9, 4, 40, 30, 12, 17 then the order of these elements after second pass of the algorithm is:"
Programming and Data Structure,Algorithm design technique used in quicksort algorithm is?
Programming and Data Structure,Randomized quicksort is an extension of quicksort where the pivot is chosen randomly. What is the worst case complexity of sorting n numbers using randomized quicksort ?
Programming and Data Structure,Choose the correct alternatives (more than one may be correct) and write the corresponding letters only: Following algorithm(s) can be used to sort n in the range [1…n^3] in O(n) time
Programming and Data Structure,The complexity of comparision based sorting algorithms is:
Programming and Data Structure,"Let P be a quicksort program to sort numbers in ascending order. Let t1​ and t2​ be the time taken by the program for the inputs [1 2 3 4] and [5 4 3 2 1], respectively. Which of the following holds?"
Programming and Data Structure,The integer value printed by the ANSI-C program given below is ______.
Programming and Data Structure,"A language with string manipulation facilities uses the following operations.head(s)- returns the first character of the string s tails(s)- returns all but the first character of the string s concat(s1,s2)- concatenates string s1 with s2.The output of concat(head(s), head(tail(tail(s)))), where s is acbc is:"
Programming and Data Structure,"Consider the following program written in pseudo-code. Assume that x and y are integers.The number of times that the print statement is executed by the call Count(1024,1024) is _____."
Programming and Data Structure,Which one of the following is correct about the statements given below?I. All function calls are resolved at compile time in C lang II. All function calls are resolved at compile time in C++ lang
Programming and Data Structure,What will be the output of the following C program?
Programming and Data Structure,"Consider the following C program.Which one of the following expressions, when placed in the blank above, will NOT result in a typec hecking error?"
Programming and Data Structure,What will be the output of the following pseudo-code when parameters are passed by reference and dynamic scoping is assumed?
Programming and Data Structure,"Suppose c=(c[0],...,c[k-1]) is an array of length k, where all the entries are from the set {0,1}. For any positive integers a and n, consider the following pseudocode."
Programming and Data Structure,"What is the return value of f(p,p), if the value of p is initialized to 5 before the call? Note that the first parameter is passed by reference, whereas the second parameter is passed by value."
Programming and Data Structure,If get(6) function is being called in main()then how many times will the get()function be invoked before returning to the main()?
Programming and Data Structure,Consider an array X that contains n positive integers. A subarray of X is defined to be a sequence of array locations with consecutive indices.The C code snippet given below has been written to compute the length of the longest subarray of X that contains at most two distinct integers. The code has two missing expressions labelled (P) and (Q).
Programming and Data Structure,"Consider the C program fragment below which is meant to divide x by y using repeated subtractions. The variables x, y, q and r are all unsigned int."
Programming and Data Structure,The following function computes the maximum value contained in an integer array p[] of size n (n>=1).
Programming and Data Structure,The following three 'C' language statements is equivalent to which single statement?
Programming and Data Structure,"Suppose n and p are unsigned int variables in a C program. We wish to set p to nC3​. If n is large, which one of the following statements is most likely to set p correctly?"
Programming and Data Structure,"In Java, after executing the following code what are the values of x, y and z?int x, y=10; z=12; x=y++ + z++;"
Programming and Data Structure,"In the following Pascal program segment, what is the value of X after the execution of the program segment?"
Programming and Data Structure,The conditional expansion facility of macro processor is provided to
Programming and Data Structure,Assume that X and Y are non-zero positive integers. What does the following Pascal program segment do?
Programming and Data Structure,"S1: The compiler will generate code to allocate a temporary nameless cell, initialize it to 13, and pass the address of the cell to swap S2: On execution the code will generate a runtime error on line L1 S3: On execution the code will generate a runtime error on line L2 S4: The program will print 13 and 8 S5: The program will print 13 and -2 Exactly the following set of statement(s) is correct:"
Programming and Data Structure,Choose the correct option to fill ? 1 and ? 2 so that the program below prints an input string in reverse order. Assume that the input string is terminated by a newline character.
Programming and Data Structure,"The following program fragment is written in a programming language that allows variables and does not allow nested declarations of functions.If the programming language uses dynamic scoping and call by name parameter passing mechanism, the values printed by the above program are"
Programming and Data Structure,In which of the following cases is it possible to obtain different results for call-by-reference and call-by-name parameter passing methods?
Programming and Data Structure,What is printed by the print statements in the program P1 assuming call by reference parameter passing ?
Programming and Data Structure,"Assume that the variable y points to a struct (allocated on the heap) containing two fields f1 and f2, and the local variables x, y, z, p, q, and i are allotted registers. Common sub-expression elimination (CSE) optimization is applied on the code. The number of addition and the dereference operations (of the form y -> f1 or y -> f2) in the optimized code, respectively, are:"
Computer Organization and Architecture,"A processor with 16 general purpose registers uses a 32-bit instruction format. The instruction format consists of an opcode field, an addressing mode field, two register operand fields, and a 16-bit scalar field. If 8 addressing modes are to be supported, the maximum number of unique opcodes possible for every addressing mode is _________"
Computer Organization and Architecture,"Consider a 32- bit processor which supports 70 instructions. Each instruction is 32 bit long and has 4 fields namely opcode, two register identifiers and an immediate operand of unsigned integer type. Maximum value of the immediate operand that can be supported by the processor is 8191. How many registers the processor has?"
Computer Organization and Architecture,"A non-pipelined CPU has 12 general purpose registers?(R0,R1,R2,...,R12). Following operations are supported ADD Ra, Rb, Rr Add Ra to Rb and store the result in Rr , MUL Ra, Rb, Rr Multiply Ra to Rb and store the result in Rr, MUL operation takes two clock cycles, ADD takes one clock cycle. Calculate minimum number of clock cycles required to compute the value of the expression XY+XYZ+YZ. The variable X,Y,Z are initially available in registers R0,R1 and R2 and contents of these registers must not be modified."
Computer Organization and Architecture,"A processor has 64 registers and uses 16-bit instruction format. It has two types of instructions: I-type and R-type. Each I-type instruction contains an opcode, a register name, and a 4-bit immediate value. Each R-type instruction contains an opcode and two register names. If there are 8 distinct I-type opcodes, then the maximum number of distinct R-type opcodes is _______."
Computer Organization and Architecture,A byte addressable computer has a memory capacity of 2mKB(k bytes ) and can perform 2n operations. An instruction involving 3 operands and one operator needs maximum of:
Computer Organization and Architecture,"A data driven machine is one that executes an instruction if the needed data is available. The physical ordering of the code listing does not dictate the course of execution. Consider the following pseudo-code: (A). Multiply E by 0.5 to get F. (B). Add A and B to get E. (C). Add B with 0.5 to get D. (D). Add E and F to get G. (E). Add A with 10.5 to get C. Assume A,B,C are already assigned values and the desired output is G. Which of the following sequence of execution is valid"
Computer Organization and Architecture,"A processor has 16 integer registers (R0, R1,...,R15) and 64 floating point registers (F0, F1,...,F63). It uses a 2-byte instruction format. There are four categories of instructions: Type-1, Type-2, Type-3, and Type-4. Type-1 category consists of four instructions, each with 3 integer register operands (3Rs). Type-2 category consists of eight instructions, each with 2 floating point register operands (2Fs). Type-3 category consists of fourteen instructions, each with one integer register operand and one floating point register operand (1R+1F). Type-4 category consists of N instructions, each with a floating point register operand (1F). The maximum value of N is __________."
Computer Organization and Architecture,Consider the following processor design characteristics. I. Register-to-register arithmetic operations only. II. Fixed-length instruction format. III. Hardwired control unit. Which of the characteristics above are used in the design of a RISC processor?
Computer Organization and Architecture,"Consider a processor with 64 registers and an instruction set of size twelve. Each instruction has five distinct fields, namely, opcode, two source register identifiers, one destination register identifier, and a twelve-bit immediate value. Each instruction must be stored in memory in byte-aligned fashion. If a program has 100 instructions, the amount of memory(in bytes) consumed by the program text is _____ ."
Computer Organization and Architecture,"A processor has 40 distinct instructions and 24 general purpose registers. A 32-bit instruction word has an opcode, two register operands and an immediate operand. The number of bits available for the immediate operand field is _______ ."
Computer Organization and Architecture,"In X=(M+NxO)/(PxQ), how many one-address instructions are required to evaluate it?"
Computer Organization and Architecture,"The contents of the flag register after execution of the following program by 8085 microprocessor will be - Program, SUB A, MVI B,(01)H, DCR B, HLT"
Computer Organization and Architecture,"Consider a processor with byte-addressable memory. Assume that all registers, including Program Counter (PC) and Program Status Word (PSW), are of size 2 bytes. A stack in the main memory is implemented from memory location (0100) base 16 and it grows upward. The stack pointer (SP) points to the top element of the stack. The current value of SP is (016E) base 16. The CALL instruction is of two words, the first word is the op-code and the second word is the starting address of the subroutine (one word = 2 bytes). The CALL instruction is implemented as follows: Store the current value of PC in the stack , Store the value of PSW register in the stack, Load the starting address of the subroutine in PC. The content of PC just before the fetch of a CALL instruction is (5FA0) base 16. After execution of the CALL instruction, the value of the stack pointer is"
Computer Organization and Architecture,Assume that 16-bit CPU is trying to access a double word stating at an odd address. How many memory operations are required to access the data?
Computer Organization and Architecture,The use of multiple register windows with overlap causes a reduction in the number of memory accesses for: I. Function locals and parameters. II. Register saves and restores. III. Instruction fetches
Computer Organization and Architecture,"A CPU has 24-bit instructions. A program starts at address 300 (in decimal). Which one of the following is a legal program counter (all values in decimal)?"
Computer Organization and Architecture,The Memory Address Register
Computer Organization and Architecture,Which of the following architecture is/are not suitable for realising SIMD?
Computer Organization and Architecture,"Consider the following Assembly language program MVIA 30 H ACI 30 H XRA A POP H. After the execution of the above program, the contents of the accumulator will be"
Computer Organization and Architecture,"Assume that EA = (X)+ is the effective address equal to the contents of location X, with X incremented by one word length after the effective address is calculated; EA = -(X) is the effective address equal to the contents of location X, with X decremented by one word length before the effective address is calculated; EA = (X)- is the effective address equal to the contents of location X, with X decremented by one word length after the effective address is calculated. The format of the instruction is (opcode, source, destination), which means (destination⟵ source op destination). Using X as a stack pointer, which of the following instructions can pop the top two elements from the stack, perform the addition operation and push the result back to the stack."
Computer Organization and Architecture,"A processor that has the carry, overflow and sign flag bits as part of its program status word (PSW) performs addition of the following two 2's complement numbers 01001101 and 11101001. After the execution of this addition operation, the status of the carry, overflow and sign flags, respectively will be:"
Computer Organization and Architecture,The use of multiple register windows with overlap causes a reduction in the number of memory accesses for: I. Function locals and parameters. II. Register saves and restores. III. Instruction fetches
Computer Organization and Architecture,"In an instruction execution pipeline, the earliest that the data TLB (Translation Lookaside Buffer) can be accessed is"
Computer Organization and Architecture,Which of the following must be true for the RFE (Return From Exception) instruction on a general purpose processor? I. It must be a trap instruction. II. It must be a privileged instruction. III. An exception cannot be allowed to occur during execution of an RFE instruction
Computer Organization and Architecture,"Assume that the content of memory location 3000 is 10 and the content of the register R3 is 2000. The content of each of the memory locations from 2000 to 2010 is 100. The program is loaded from the memory location 1000. All the numbers are in decimal. Assume that the memory is byte addressable and the word size is 32 bits. If an interrupt occurs during the execution of the instruction ""INC R3"", what return address will be pushed on to the stack?"
Computer Organization and Architecture,"Consider a new instruction named branch-on-bit-set (mnemonic bbs). The instruction ""bbs reg, pos, labbel"" jumps to label if bit in position pos of register operand reg is one. a register is 32 bits wide and the bits are numbered 0 to 31, bit in position 0 being the least significant. Consider the following emulation of this instruction on a processor that does not have bbs implemented.temp→reg & mask Branch to label if temp is non-zero.The variable temp is a temporary register. For correct emulation the variable mask must be generated by"
Computer Organization and Architecture,"A CPU has 24-bit instructions. A program starts at address 300 (in decimal). Which one of the following is a legal program counter (all values in decimal)?"
Computer Organization and Architecture,"If we use internal data forwarding to speed up the performance of a CPU (R1, R2 and R3 are registers and M[100] is a memory reference), then the sequence of operations R1→ M[100] → R2→ M[100] → R3 can be replaced by"
Computer Organization and Architecture,Let the clock cycles required fro various operations be as follows: Register to/from memory transfer : 3 clock cycles ADD with both operands in register : 1 clock cycle Instruction fetch and decode : 2 clock cycles per word. The total number of clock cycles required to execute the program is
Computer Organization and Architecture,"Consider that the memory is byte addressable with size 32 bits, and the program has been loaded starting from memory location 1000 (decimal). If an interrupt occurs while the CPU has been halted after executing the HALT instruction, the return address (in decimal) saved in the stack will be"
Computer Organization and Architecture,"What are the states of the Auxiliary Carry (AC) and Carry Flag (CY) after executing the following 8085 program ? MIV H, 5DH MIV L, 6BH MOV A, H ADD L"
Computer Organization and Architecture,In 8085 which of the following modifies the program counter ?
Computer Organization and Architecture,To put the 8085 microprocessor in the wait state
Computer Organization and Architecture,The main difference(s) between a CISC and a RISC processor is/are that a RISC processor typically: a) has fewer instructions. b) has fewer addressing modes. c) has more registers. d) is easier to implement using hardwired control logic
Computer Organization and Architecture,"Contents of A register after the execution of the following 8085 microprocessor program is MVIA, 55 H MVI C, 25 H ADDC DAA"
Computer Organization and Architecture,Suppose a processor does not have any stack pointer register. Which of the following statements is true ?
Computer Organization and Architecture,Number of machine cycles required for RET instruction in 8085 microprocessor is
Computer Organization and Architecture,The most relevant addressing mode to write position-independent codes is:
Computer Organization and Architecture,"Consider two processors P1 and P2 executing the same instruction set. Assume that under identical conditions, for the same input, a program running on P2 takes 25% less time but incurs 20% more CPI (clock cycles per instruction) as compared to the program running on P1. If the clock frequency of P1 is 1GHz, then the clock frequency of P2 (in GHz) is _________."
Computer Organization and Architecture,"A machine has a 32-bit architecture, with 1-word long instructions. It has 64 registers, each of which is 32 bits long. It needs to support 45 instructions, which have an immediate operand in addition to two register operands. Assuming that the immediate operand is an unsigned integer, the maximum value of the immediate operand is ____________."
Computer Organization and Architecture,"How many number of times the instruction sequence below will loop before coming out of the loop? MOV AL, 00H A1: INC AL JNZ A1"
Computer Organization and Architecture,"In 8086, the jump condition for the instruction JNBE is?"
Computer Organization and Architecture,"Consider the following sequence of micro-operations.MBR ← PC , MAR ← X, PC ← Y, Memory ← MBR. Which one of the following is a possible operation performed by this sequence?"
Computer Organization and Architecture,"Find the memory address of the next instruction executed by the microprocessor (8086), when operated in real mode for CS=1000 and IP=E000"
Computer Organization and Architecture,"Compared to CISC processors,RISC processors contain"
Computer Organization and Architecture,"A processor that has carry, overflow and sign flag bits as part of its program status word (PSW) performs addition of the following two 2's complement numbers 01001101 and 11101001. After the execution of this addition operation, the status of the carry, overflow and sign flags, respectively will be"
Computer Organization and Architecture,"Consider a RISC machine where each instruction is exactly 4 bytes long. Conditional and unconditional branch instructions use PC- relative addressing mode with Offset specified in bytes to the target location of the branch instruction. Further the Offset is always with respect to the address of the next instruction in the program sequence. If the target of the branch instruction is i, then the decimal value of the Offset is __________"
Computer Organization and Architecture,A stack organized computer is characterised by instructions with
Computer Organization and Architecture,The immediate addressing mode can be used for: 1. Loading internal registers with initial values. 2. Perform arithmetic or logical operation on data contained in instructions. Which of the following is true?
Computer Organization and Architecture,Relative mode of addressing is most relevant to writing:
Computer Organization and Architecture,"Consider a hypothetical processor with an instruction of type LW R1, 20(R2), which during execution reads a 32-bit word from memory and stores it in a 32-bit register R1. The effective address of the memory location is obtained by the addition of constant 20 and the contents of register R2. Which of the following best reflects the Addressing Modes implemented by this instruction for the operand in memory?"
Computer Organization and Architecture,"MOV [BX], AL type of data addressing is called ?"
Computer Organization and Architecture,"For computers based on three-address instruction formats, each address field can be used to specify which of the following:(S1) A memory operand. (S2) A processor register. (S3) An implied accumulator register"
Computer Organization and Architecture,"In the Big-Endian system, the computer stores"
Computer Organization and Architecture,"In which addressing mode, the effectives address of the operand is generated by adding a constant value to the content of a register?"
Computer Organization and Architecture,"Which of the following is/are true of the auto-increment Addressing Modes? I. It is useful in creating self-relocating code. II. If it is included in an Instruction Set Architecture, then an additional ALU is required for effective address calculation. III. The amount of increment depends on the size of the data item accessed."
Computer Organization and Architecture,"Which of the following is/are true of the auto-increment addressing mode? I. It is useful in creating self-relocating code. II. If it is included in an Instruction Set Architecture, then an additional ALU is required for effective address calculation. III. The amount of increment depends on the size of the data item accessed."
Computer Organization and Architecture,Relative mode of addressing is most relevant to writing:
Computer Organization and Architecture,Which of the following addressing modes permits relocation without any change whatsoever in the code?
Computer Organization and Architecture,A certain processor supports only the immediate and the direct addressing modes. Which of the following programming language features cannot be implemented on this 
Computer Organization and Architecture,In the absolute the Addressing Modes :
Computer Organization and Architecture,Which of the following Addressing Modess are suitable for program relocation at run time?
